('converting', 'VBG')
('sensitivity', 'NN')
('alternative', 'JJ')
('x<0', 'JJ')
('libpng-106g', 'JJ')
('tableiv', 'NN')
('alternate', 'NN')
('store_message', 'NN')
('been', 'VBN')
('max_bits', 'NNS')
('fflush', 'JJ')
('transparency', 'NN')
('png_ptr->zstream', 'NN')
('calculating', 'VBG')
('png_pass_rowsheight', 'JJ')
('worrying', 'VBG')
('png_add_alpha', 'NN')
('log', 'NN')
('filtering', 'VBG')
('isbitmax', 'JJ')
('get', 'NN')
('initializer', 'JJ')
('meanings', 'NNS')
('successive', 'JJ')
('kbytes', 'NNS')
('maintain', 'VBP')
('results', 'NNS')
('s32s00', 'JJ')
('log2bit_depth', 'JJ')
('style', 'NN')
('store_error', 'NN')
('hardware', 'NN')
('~png_rgb_to_gray', 'JJ')
('selects', 'NNS')
('base_formats', 'VBZ')
('headers', 'NNS')
('decrease', 'VBP')
('rearrange', 'NN')
('switch', 'NN')
('applying', 'VBG')
('limitserrors', 'NNS')
('filelength', 'VBP')
('transform_display', 'JJ')
('combo', 'JJ')
('white-y', 'JJ')
('needs', 'NNS')
('during', 'IN')
('grayscale-no-alpha', 'JJ')
('png_set_invert_monopng_structrp', 'NN')
('version_nn_nn_nn', 'NN')
('tablelow', 'NN')
('compared', 'VBN')
('conversions', 'NNS')
('errno', 'VBP')
('studio', 'NN')
('append', 'NN')
('represent', 'NN')
('route', 'NN')
('violates', 'VBZ')
('format_flag', 'JJ')
('ok_bits', 'NNS')
('image-height', 'JJ')
('floorvlo-vhi', 'JJ')
('satisfactory', 'JJ')
('repeat', 'NN')
('demand', 'NN')
('kill', 'NN')
('parentheses', 'VBZ')
('inputoutput', 'JJ')
('zlib_control', 'NN')
('harm', 'NN')
('exported', 'VBD')
('unpremultiply', 'JJ')
('read_count', 'NN')
('incremental', 'JJ')
('breaking', 'VBG')
('narrowing', 'VBG')
('meters', 'NNS')
('sake', 'VBP')
('bigendian', 'JJ')
('bool', 'NN')
('damaged', 'VBD')
('evaluated', 'VBN')
('gammacomposergb-to-gray', 'JJ')
('leak', 'NN')
('read_user_chunks_supported', 'VBD')
('occurs', 'NNS')
('sse2', 'RB')
('repeated', 'VBD')
('pixelbyte', 'JJ')
('none', 'NN')
('recalculate', 'NN')
('pngvalid', 'JJ')
('counts', 'NNS')
('srgb_to_d', 'VBP')
('png_warn_uninitialized_row', 'NN')
('led', 'VBD')
('front', 'JJ')
('therein', 'RB')
('defaulted', 'VBD')
('composed', 'VBN')
('weighted', 'JJ')
('sizeof', 'NN')
('retrieve', 'VBP')
('decompose', 'NN')
('rfc1950', 'NN')
('whether', 'IN')
('threw', 'NN')
('accumulated', 'VBD')
('damages', 'NNS')
('pack', 'VBP')
('z_default_strategy', 'NN')
('june', 'NN')
('article', 'NN')
('warningerror', 'NN')
('listssfnet', 'NN')
('treats', 'NNS')
('compare_two_images', 'VBP')
('equality', 'NN')
('rewrite', 'VBP')
('z_stream_end', 'NN')
('xin', 'NN')
('explain', 'VBP')
('zconfh', 'JJ')
('allocators', 'NNS')
('compilers', 'NNS')
('ignores', 'NNS')
('png_color_type_palette', 'VBP')
('skipped', 'JJ')
('saves', 'NNS')
('clever', 'VBP')
('gammabackground_rgb_to_gray', 'NN')
('guts', 'NNS')
('opportunity', 'NN')
('printf', 'VBP')
('strings', 'NNS')
('matter', 'NN')
('png_invert_alpha', 'VBP')
('progressive_read', 'JJ')
('white-x', 'NN')
('tested', 'JJ')
('insecure', 'NN')
('outputs', 'VBZ')
('jump', 'JJ')
('handler', 'NN')
('16-bits', 'JJ')
('treatment', 'NN')
('png_pass_height', 'JJ')
('approaches', 'NNS')
('backgroundpre-multiplication', 'NN')
('generate', 'NN')
('exists', 'VBZ')
('frames', 'JJ')
('poyntons', 'NNS')
('green-c', 'JJ')
('forms', 'NNS')
('clobbers', 'NNS')
('afterwards', 'NNS')
('page', 'NN')
('png_jmpbuf', 'NN')
('pointed', 'VBD')
('callbacks', 'NNS')
('chunk_end', 'VBP')
('png_{getset}_unknown_chunks', 'NNS')
('performance', 'NN')
('grab', 'NN')
('involve', 'VBP')
('input_file', 'NN')
('assurance', 'NN')
('pngtest_timing', 'VBG')
('assuming', 'VBG')
('everything', 'NN')
('named', 'VBN')
('g-16', 'JJ')
('no-transform', 'JJ')
('advantage', 'NN')
('interdependencies', 'NNS')
('color-scale', 'JJ')
('solved', 'JJ')
('defines', 'NNS')
('applications', 'NNS')
('>green', 'JJ')
('modifications', 'NNS')
('digital', 'JJ')
('modes', 'NNS')
('overlap', 'VBP')
('world', 'NN')
('distinguish', 'NN')
('png_read_pack_supported', 'VBN')
('misbehavior', 'JJ')
('says', 'VBZ')
('mark', 'NN')
('standards', 'NNS')
('use_compile_time_masks', 'JJ')
('fall', 'NN')
('unpg', 'NN')
('fault', 'NN')
('discover', 'NN')
('assertchannels', 'NNS')
('xor', 'VBP')
('strip_alpha', 'JJ')
('quarter', 'NN')
('performs', 'NNS')
('arent', 'JJ')
('luminance', 'NN')
('includes', 'VBZ')
('lot', 'CC')
('green-cgreen-scale', 'JJ')
('reentered', 'JJ')
('png_set_shiftpng_structp', 'NN')
('enforces', 'NNS')
('verified', 'VBD')
('decrement', 'JJ')
('png_filler', 'NN')
('png_swap_bytes', 'NNS')
('compiled', 'VBD')
('png_invert_mono', 'JJ')
('normalize', 'JJ')
('determinant', 'JJ')
('0-25', 'JJ')
('muldiv', 'NN')
('sync_flush', 'NN')
('magic', 'NN')
('compile', 'NN')
('simplified_read', 'JJ')
('column', 'NN')
('confusion', 'NN')
('allocated', 'VBD')
('mass', 'NN')
('replaces', 'NNS')
('warnuse', 'VBP')
('breakage', 'NN')
('getting', 'VBG')
('indicated', 'VBN')
('flow', 'JJ')
('chance', 'NN')
('colour_type', 'NN')
('write_png', 'JJ')
('configure', 'NN')
('loaded', 'VBN')
('assumes', 'VBZ')
('test_uses_encodings', 'NNS')
('recovery', 'NN')
('consider', 'VB')
('understands', 'NNS')
('xyz1', 'JJ')
('find', 'VBP')
('png_ptrunknown_chunk', 'JJ')
('matching', 'VBG')
('avoiding', 'VBG')
('acquire', 'VB')
('cexcepth', 'NN')
('cleans', 'NNS')
('preserves', 'VBZ')
('extreme', 'JJ')
('information', 'NN')
('out-of-memory', 'JJ')
('object', 'NN')
('@<number>', 'NNP')
('green-zgreen-scale', 'JJ')
('inability', 'NN')
('inaccuracies', 'NNS')
('nyi', 'JJ')
('reallocation', 'NN')
('png_ptr->jmp_buf_ptr', 'JJ')
('booleans', 'NNS')
('d->error_return', 'JJ')
('startup', 'JJ')
('tristimulus', 'NN')
('permit', 'NN')
('fifth', 'VBD')
('onto', 'IN')
('aliased', 'VBN')
('exact', 'JJ')
('match', 'NN')
('endrc', 'NN')
('published', 'VBN')
('<httpwwwpoyntoncomnotescolour_and_gamma>', 'NNP')
('remove', 'VB')
('read_int_functions', 'NNS')
('`_epi8`', 'VBP')
('positives', 'NNS')
('move', 'VBP')
('adobe', 'NN')
('approximations', 'NNS')
('overwrites', 'VBZ')
('delete', 'JJ')
('suffix', 'RB')
('drop', 'NN')
('modifier_read', 'NN')
('is_transparent', 'NN')
('nonzero', 'NN')
('file_initcontrolfile', 'NN')
('store_storefile', 'NN')
('reseed', 'NN')
('trashed', 'VBD')
('byte-swaps', 'JJ')
('greyscale', 'NN')
('middle', 'JJ')
('integer', 'NN')
('places', 'NNS')
('parallel', 'JJ')
('abuse', 'RB')
('subtracted', 'VBD')
('strip_16', 'JJ')
('componentalpha', 'NN')
('forces', 'NNS')
('png_use_compile_time_masks', 'VBP')
('oops', 'JJ')
('a-c', 'JJ')
('poynton', 'NN')
('transform_widthpp', 'NN')
('algorithms', 'VBP')
('alter', 'RB')
('converge', 'JJ')
('fio21-cdonotcreatetemporaryfilesinshareddirectories', 'NNS')
('chunk_info', 'NN')
('aligned', 'VBN')
('reuse', 'RB')
('urged', 'JJ')
('reduces', 'NNS')
('takes', 'VBZ')
('safety', 'NN')
('values><n', 'NN')
('theory', 'JJ')
('addition', 'NN')
('parse', 'IN')
('chunk_write', 'JJ')
('chunklen-4u-chunkpos', 'JJ')
('requires', 'VBZ')
('steal', 'JJ')
('modify_fn', 'NNS')
('outputoutput_size', 'VBP')
('set_expand', 'NN')
('supposed', 'VBN')
('directtions', 'NNS')
('guiwindowing', 'VBG')
('ethernet', 'JJ')
('re-allocs', 'JJ')
('png_pack', 'NN')
('defaultz_ok', 'NN')
('forbids', 'NNS')
('names', 'RB')
('supporting', 'VBG')
('implies', 'NNS')
('pipeline', 'NN')
('buggy', 'IN')
('8-bit', 'JJ')
('pair', 'NN')
('describes', 'VBZ')
('lookups', 'NNS')
('png_background', 'IN')
('elements', 'NNS')
('operations', 'NNS')
('premultiply', 'VBP')
('shiftsbit', 'JJ')
('corruption', 'NN')
('vary', 'JJ')
('solution', 'NN')
('indices', 'NNS')
('verifies', 'NNS')
('chunkidat', 'VBP')
('reconstructed', 'VBN')
('accumulate', 'JJ')
('remainder', 'NN')
('environment', 'NN')
('stupidity', 'NN')
('gain', 'NN')
('cb16', 'NN')
('above', 'IN')
('supply', 'NN')
('process_chunk', 'NN')
('circular', 'JJ')
('scale', 'NN')
('reflect', 'NN')
('numbers', 'NNS')
('conversion', 'NN')
('deprecated', 'VBN')
('global_use', 'NN')
('exceeded', 'VBD')
('alpha05', 'JJ')
('colormaps', 'NNS')
('extend', 'VBP')
('paeth', 'VBZ')
('although', 'IN')
('consume', 'NN')
('invariant', 'JJ')
('character', 'NN')
('received', 'VBD')
('calculation', 'NN')
('png_div51value', 'NN')
('frame', 'NN')
('pool->list', 'JJ')
('set_modifier_for_read', 'NN')
('awk', 'NN')
('configurations', 'NNS')
('stop_invalid', 'VBP')
('write_trns', 'NNS')
('write_optimize_cmf', 'VBP')
('saw', 'VBD')
('png_expand_16', 'JJ')
('support', 'NN')
('hex', 'VBD')
('libpng-1611', 'JJ')
('eliminates', 'NNS')
('fits', 'NNS')
('whines', 'NNS')
('png_libpng_ver', 'RB')
('safer', 'VBP')
('cached', 'JJ')
('crashing', 'NN')
('png_handle_as_unknown_supported', 'VBD')
('affect', 'JJ')
('outputting', 'VBG')
('blue-yblue-scale', 'JJ')
('intercepted', 'JJ')
('xrgbrgbxagga', 'NN')
('idat_pos', 'NN')
('atob0tag', 'NN')
('worktime', 'NN')
('syncing', 'VBG')
('stores', 'NNS')
('print0', 'JJ')
('registers', 'NNS')
('linearize', 'VBP')
('transform_range_check', 'NN')
('specifies', 'NNS')
('went', 'VBD')
('write_interlace', 'NN')
('reallocates', 'NNS')
('circumstances', 'NNS')
('others', 'NNS')
('product', 'NN')
('ten', 'NN')
('get_trns', 'VBZ')
('per', 'IN')
('grp', 'NN')
('store_memory', 'NN')
('let', 'NN')
('limitation', 'NN')
('ceil100000327672', 'VB')
('pnglibconfh', 'NN')
('modified', 'VBN')
('log2x257', 'JJ')
('pnghn', 'NN')
('reacked', 'VBD')
('subsequent', 'JJ')
('series', 'NN')
('png_pass_start_rowpass', 'NN')
('generated', 'VBD')
('_ini', 'NNP')
('resync', 'NN')
('coeefficients', 'NNS')
('warndiscard', 'VBP')
('enumerate', 'JJ')
('png_noreturn', 'NN')
('ok-bits', 'JJ')
('slack', 'NN')
('namedcolor', 'NN')
('contents', 'NNS')
('customization', 'VBP')
('re-chunking', 'NN')
('png_read_background_supported', 'JJ')
('protect', 'NN')
('decide', 'NN')
('manage', 'NN')
('bckc', 'NN')
('sliding', 'VBG')
('knuth', 'JJ')
('re-use', 'JJ')
('rewriting', 'VBG')
('png_flag_mng_filter_64', 'JJ')
('div-by-zero', 'NN')
('preserved', 'VBD')
('sgp', 'JJ')
('png_destroy_struct_2', 'NN')
('alpha0', 'VBD')
('held', 'VBN')
('turn', 'JJ')
('png-mng-implement', 'JJ')
('g16', 'NN')
('leading', 'VBG')
('converse', 'NN')
('ignored', 'VBD')
('flushing', 'VBG')
('green-x', 'JJ')
('~poyntonnotescolour_and_gammacolorfaqtxt', 'JJ')
('gray-to-rgb', 'JJ')
('horowitz', 'NN')
('wrappers', 'NNS')
('failures', 'VBZ')
('boundaries', 'NNS')
('breakpoints', 'NNS')
('causes', 'NNS')
('amend', 'VBP')
('top-most', 'JJ')
('simplified_write_stdio', 'NN')
('edited', 'VBD')
('v090', 'JJ')
('past', 'IN')
('vhi', 'NN')
('ordering', 'NN')
('segmented', 'VBD')
('overriding', 'VBG')
('pixelsbytes', 'NNS')
('_shift', 'VBP')
('-19', 'RB')
('choose', 'JJ')
('packswap', 'NNS')
('declare', 'VBP')
('z_null', 'JJ')
('read_invert_alpha', 'NN')
('excludes', 'NNS')
('unpc', 'JJ')
('in_pixel', 'JJ')
('amounts', 'NNS')
('libpng-109beta03', 'JJ')
('register', 'NN')
('combines', 'NNS')
('packed', 'VBD')
('iterator', 'JJ')
('instability', 'NN')
('-5e-4', 'NNP')
('overread', 'VBD')
('byte-by-byte', 'JJ')
('-710', 'NNP')
('runtime', 'NN')
('z_streammsg', 'NN')
('convenience', 'NN')
('uint_max5', 'JJ')
('absolute', 'NN')
('turned', 'VBD')
('easy_access', 'JJ')
('signals', 'NNS')
('july', 'VBP')
('file_init', 'JJ')
('assume_16_bit_calculations', 'NNS')
('members', 'NNS')
('png_bgr', 'VBP')
('delayed', 'VBN')
('16-number_of_signifiant_bits', 'NNS')
('succeeded', 'VBD')
('describe', 'JJ')
('png_pass_start_colpass', 'NN')
('ab-c', 'JJ')
('zstate', 'NN')
('section', 'NN')
('warnings', 'NNS')
('verbatim', 'VBP')
('white_scale', 'JJ')
('constraints', 'NNS')
('formula', 'VBP')
('designed', 'VBN')
('floorv-vhivhi', 'JJ')
('guarantees', 'NNS')
('comparisons', 'NNS')
('configuration', 'VBP')
('b-ca-c', 'JJ')
('standard_display', 'NN')
('returns', 'NNS')
('ansi-c90', 'JJ')
('png_pass_col_shiftpass', 'NN')
('idat_reset', 'VBN')
('green-scale', 'JJ')
('out-of-buffer', 'NN')
('quietuse', 'NN')
('antidote', 'JJ')
('libpng-1243', 'JJ')
('in-err', 'JJ')
('outside', 'NN')
('>background', 'NN')
('throughout', 'IN')
('activate', 'JJ')
('destabilizing', 'JJ')
('sufficient', 'JJ')
('exits', 'NNS')
('gcc_strict_overflow', 'VBP')
('tests', 'NNS')
('read_transforms', 'NNS')
('-5e-5', 'VBP')
('blocks', 'NNS')
('say', 'VBP')
('color-x', 'JJ')
('nimages1', 'JJ')
('mediocre', 'NN')
('enforce', 'NN')
('consortium', 'NN')
('piped', 'VBD')
('libpng-1510', 'JJ')
('png_unexpected_zlib_return', 'NN')
('grayalpha', 'NN')
('err_action', 'NN')
('insufficient', 'NN')
('maxin_digits12', 'NN')
('installed', 'VBD')
('integers', 'NNS')
('zlibs', 'VBP')
('destroy_read_struct', 'NN')
('runs', 'NNS')
('validunknown{beforeafter}', 'VBP')
('swapped', 'VBN')
('vhivlo', 'IN')
('blue-c', 'JJ')
('cant', 'NN')
('viewing', 'VBG')
('filetype', 'JJ')
('save_unknown_chunks', 'NNS')
('red-zred-scale', 'JJ')
('date', 'NN')
('png_read_strip_alpha_supported', 'VBD')
('png_max_error_text', 'JJ')
('layout', 'NN')
('z_ok', 'NN')
('p-c', 'JJ')
('variation', 'NN')
('chunky', 'NN')
('initializes', 'VBZ')
('areas', 'NNS')
('formatted', 'VBN')
('base_formatsin_format', 'JJ')
('programs', 'NNS')
('info_image', 'VBP')
('zlib_ok', 'JJ')
('non', 'RB')
('png_read_16_to_8_supported', 'VBN')
('overflows', 'VBZ')
('ensures', 'NNS')
('user_mem', 'JJ')
('bitsettest', 'JJS')
('differencing', 'VBG')
('supported', 'VBN')
('corrected', 'VBN')
('sorted', 'VBN')
('branch', 'NN')
('dll', 'NN')
('lengthtypepos', 'NN')
('moving', 'VBG')
('lets', 'NNS')
('erroroverflow', 'JJ')
('curve', 'NN')
('png_read_swap_supported', 'VBD')
